brand,collection,reference,jdm_model,serial,diameter_mm,lug_to_lug_mm,thickness_mm,lug_width_mm,case_material,solar,radio_sync,color,auction_price_jpy,auction_price_usd,buyee_platform_jpy,buyee_inspection_jpy,domestic_shipping_jpy,customs_duty_usd,intl_shipping_usd,current_status,is_personal,notes
Seiko,Spirit,7B42-0AN0,SBTM193,3D0050,38.4,46,10.2,20,Titanium,yes,no,Black,6500,53.75,500,500,0,8.06,,listed,no,Solar JDM. Radio JP only.
Seiko,Brightz,7B24-0BH0,SAGZ081,,39,46,8.8,20,Titanium,yes,yes,Deep Blue,23570,149.04,500,500,0,22.36,,listed,no,Solar + radio sync. Excellent condition.
Seiko,Brightz,7B24-0AT0,SAGZ077,,42.6,49,10.2,20,Stainless Steel,yes,yes,Black,8550,63.87,500,500,0,9.58,,listed,no,Solar + radio sync.
Citizen,xC,H060-T023479,ES9364,,24,,7,,Stainless Steel,yes,yes,Silver/RG,7700,49.00,500,500,0,7.35,,listed,no,Ladies eco-drive radio controlled.
